flight_number,name,date_utc,rocket_id,rocket_name,launchpad_id,launchpad_name,success,failures,details,crew_count,payloads_count,cores_reused,landing_success,landing_type
74,Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"SpaceX's first flight of 2019 will be the eighth and final launch of its planned Iridium flights. Delivering 10 satellites to low earth orbit, this brings the total up to 75 and completes the Iridium NEXT constellation. This mission launches from SLC-4E at Vandenberg AFB. The booster is expected to land on JRTI.",0,1,1,1,ASDS
75,Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch this rideshare to GTO for Space Systems Loral (SSL). The primary payload for this mission is Nusantara Satu, a communications satellite built by SSL for the private Indonesian company PT Pasifik Satelit Nusantara (PSN). Spaceflight Industries' GTO-1 mission consists of two secondary payloads. One of those is Beresheet, the lunar lander built by the Israeli non-profit organization, SpaceIL. Beresheet will make its own way to the moon from GTO. The other secondary is Air Force R",0,3,1,1,ASDS
76,CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"Demonstration Mission 1 (DM-1) will launch Dragon 2 as part of NASA's Commercial Crew Transportation Capability program. This mission will demonstrate Dragon 2, and Falcon 9 in its configuration for crewed missions. DM-1 will launch from LC-39A at Kennedy Space Center, likely carrying some cargo to the International Space Station. The booster is expected to land on OCISLY.",0,1,0,1,ASDS
77,ArabSat 6A,2019-04-11T22:35:00.000Z,5e9d0d95eda69974db09d1ed,Falcon Heavy,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX will launch Arabsat 6A to a geostationary transfer orbit from SLC-39A, KSC. The satellite is a geostationary telecommunications satellite built by Lockheed Martin for the Saudi Arabian company Arabsat. This will be the first operational flight of Falcon Heavy, and also the first Block 5 Falcon Heavy. All three cores will be new Block 5 cores. The side cores are expected to land at LZ-1 and LZ-2, and the center core is expected to land on OCISLY.",0,1,0,1,ASDS
78,CRS-17,2019-05-04T06:48:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX's 17th Commercial Resupply Services mission for NASA out of a total of 20 contracted flights, this mission brings essential supplies to the International Space Station using SpaceX's reusable Dragon 1 spacecraft. The external payloads for this mission include Orbital Carbon Observatory 3 and Space Test Program-Houston 6. The Falcon 9 launches from SLC-40 at Cape Canaveral AFS. The booster was expected to land at LZ-1, however, due to the ongoing investigation and clean-up following the Cr",0,1,0,1,ASDS
79,Starlink v0.9,2019-05-24T02:30:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch dozens of Starlink demonstration satellites from SLC-40, Cape Canaveral AFS. Starlink is a low Earth orbit broadband internet constellation developed and owned by SpaceX which will eventually consist of nearly 12 000 satellites and will provide low latency internet service to ground terminals around the world. Two prototype satellites, Microsats 2a and 2b, were launched from Vandenberg AFB in February 2018. The booster for this mission will land on OCISLY.",0,1,1,1,ASDS
80,RADARSAT Constellation,2019-06-12T14:17:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"SpaceX is launching the three satellite RADARSAT Constellation Mission into Sun Synchronous orbit from SLC-4E, VAFB. The RCM spacecraft are synthetic aperture radar (SAR) Earth observation satellites built by the Canadian space company, MDA, for the Canadian Space Agency. This mission was delayed when the originally slated booster failed to land after CRS-16. The booster is expected to return to LZ-4.",0,1,1,1,RTLS
81,STP-2,2019-06-25T03:30:00.000Z,5e9d0d95eda69974db09d1ed,Falcon Heavy,5e9e4502f509094188566f88,KSC LC 39A,1,0,"Space Test Program 2 is a rideshare managed by the U.S. Air Force Space and Missile Systems Center (SMC), launching from LC-39A, KSC. Most of the spacecraft will be delivered into low Earth orbit (LEO) in two deployment sequences separated by a second stage burn. These LEO payloads include the six Taiwan and United States owned COSMIC-2 microsatellites, the Planetary Society's LightSail-B demonstrator cubesat, and others. The third and final deployment will be the Air Force Research Lab's DSX sp",0,16,2,0,ASDS
82,CRS-18,2019-07-25T22:01:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX's 18th Commercial Resupply Services mission out of a total of 20 such contracted flights for NASA, this launch will deliver essential supplies to the International Space Station using the reusable Dragon 1 cargo spacecraft. The external payload for this mission is International Docking Adapter 3, replacing IDA-1 lost in SpaceX's CRS-7 launch failure. This mission will launch from SLC-40 at Cape Canaveral AFS on a Falcon 9, and the first-stage booster is expected to land back at CCAFS LZ-1",0,1,1,1,RTLS
83,Amos-17,2019-08-06T22:52:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch Boeing built Amos-17, a geostationary communications satellite for Israeli company Spacecom. The satellite will be delivered to GTO from KSC LC-39A or possibly CCAFS SLC-40, and will replace the defunct Amos-5 at 17° E. Amos-17 carries multi-band high throughput and regional beams servicing Africa, Europe and the Middle East. The cost of this launch is covered for Spacecom by SpaceX credit following the Amos-6 incident. A recovery of the booster for this mission is not expecte",0,1,1,0,
84,Starlink-1,2019-11-11T14:56:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the first batch of Starlink version 1.0 satellites, from SLC-40, Cape Canaveral AFS. They are expected to contribute to the 550 km x 53° shell. It is the second Starlink launch overall. Starlink is a low Earth orbit broadband internet constellation developed and owned by SpaceX which will eventually consist of nearly 12 000 satellites and will provide low latency internet service to ground terminals around the world. The booster for this mission is expected to land on OC",0,1,1,1,ASDS
85,CRS-19,2019-12-05T17:29:23.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX's 19th Crew Resupply Mission on behalf of NASA with a total of 20 contracted flights, this mission brings essential supplies to the International Space Station using SpaceX's reusable Dragon spacecraft. The external payloads for this mission include the Hyperspectral Imager Suite and a lithium-ion battery. Falcon 9 and Dragon will launch from SLC-40, Cape Canaveral AFS. The mission will be complete with return and recovery of the Dragon capsule and down cargo.",0,1,0,1,ASDS
86,JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,SpaceX will launch the Boeing built dual payload satellite to geostationary transfer orbit from XXXX. JCSat 18 is a mobile broadband communications payload built for Sky Perfect JSAT Corporation of Japan and will service Asia Pacific. Kacific 1 is a high throughput broadband internet payload built for Kacific Broadband Satellites and will service certain high demand areas of Southeast Asia and the Pacific. Both payloads share a single chassis. The booster for this mission is expected to land on ,0,1,1,1,ASDS
87,Starlink-2,2020-01-07T02:19:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the second batch of Starlink version 1.0 satellites, from SLC-40, Cape Canaveral AFS. They are expected to contribute to the 550 km x 53° shell. It is the third Starlink launch overall. Starlink is a low Earth orbit broadband internet constellation developed and owned by SpaceX which will eventually consist of nearly 12 000 satellites and will provide low latency internet service to ground terminals around the world. The booster for this mission is expected to land on OC",0,1,1,1,ASDS
88,Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX will launch a Crew Dragon capsule from LC-39A, KSC on a fully fueled Falcon 9 rocket and then trigger the launch escape system during the period of maximum dynamic pressure. As part of NASA'a Commercial Crew Integrated Capability program (CCiCap) this test will contribute valuable data to help validate Crew Dragon and its launch abort system. The Crew Dragon will be recovered by GO Searcher after splashdown in the Atlantic Ocean. This flight does not go to orbit. The booster and upper sta",0,1,1,0,
89,Starlink-3,2020-01-29T14:06:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the third batch of Starlink version 1.0 satellites, from SLC-40, Cape Canaveral AFS. It is the fourth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on OCISLY.",0,1,1,1,ASDS
90,Starlink-4,2020-02-17T15:05:55.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the fourth batch of Starlink version 1.0 satellites, from SLC-40, Cape Canaveral AFS. It is the fifth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on OCISLY.",0,1,1,0,ASDS
91,CRS-20,2020-03-07T04:50:31.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX's 20th and final Crew Resupply Mission under the original NASA CRS contract, this mission brings essential supplies to the International Space Station using SpaceX's reusable Dragon spacecraft. It is the last scheduled flight of a Dragon 1 capsule. (CRS-21 and up under the new Commercial Resupply Services 2 contract will use Dragon 2.) The external payload for this mission is the Bartolomeo ISS external payload hosting platform. Falcon 9 and Dragon will launch from SLC-40, Cape Canaveral ",0,1,1,1,RTLS
92,Starlink-5,2020-03-18T12:16:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"The sixth Starlink launch overall and the fifth operational batch of Starlink satellites will launch into orbit aboard a Falcon 9 rocket. This mission is expected to deploy all sixty satellites into an elliptical orbit about fifteen minutes into flight. In the weeks following launch the satellites are expected to utilize their onboard ion thrusters to raise their orbits to 550 km in three groups of 20, making use of precession rates to separate themselves into three planes. The booster will land",0,1,1,0,ASDS
93,Starlink-6,2020-04-22T19:30:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission will launch the sixth batch of operational Starlink satellites, which are expected to be version 1.0, from SLC-40, Cape Canaveral AFS. It is the seventh Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on OCISLY.",0,1,1,1,ASDS
94,CCtCap Demo Mission 2,2020-05-30T19:22:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX will launch the second demonstration mission of its Crew Dragon vehicle as part of NASA's Commercial Crew Transportation Capability Program (CCtCap), carrying two NASA astronauts to the International Space Station. Barring unexpected developments, this mission will be the first crewed flight to launch from the United States since the end of the Space Shuttle program in 2011. DM-2 demonstrates the Falcon 9 and Crew Dragon's ability to safely transport crew to the space station and back to ",2,1,0,1,ASDS
95,Starlink-7,2020-06-04T01:25:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the seventh batch of operational Starlink satellites, which are expected to be version 1.0, from SLC-40, Cape Canaveral AFS. It is the eighth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on JRTI on its first mission since arriving at Port Canaveral.",0,1,1,1,ASDS
96,Starlink-8 & SkySat 16-18,2020-06-13T09:21:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the eighth batch of operational Starlink satellites, which are expected to be version 1.0, from SLC-40, Cape Canaveral AFS. It is the ninth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. This mission is includes rideshare payloads, SkySats 16-18, on top of the Starlink stack. The booster for this mission is expected to land an ASDS.",0,1,1,1,ASDS
97,GPS III SV03 (Columbus),2020-06-30T19:55:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch GPS Block III Space Vehicle 03 from SLC-40, Cape Canaveral AFS aboard a Falcon 9. GPS III is owned and operated by the US Air Force and produced by Lockheed Martin. This is the third GPS III satellite and the second launched by SpaceX. The satellite will be delivered into a MEO transfer orbit. The booster for this mission is expected to land on an ASDS.",0,1,0,1,ASDS
98,ANASIS-II,2020-07-20T21:30:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch ANASIS-II, a South Korean geostationary military communication satellite from LC-39A, Kennedy Space Center. It will be South Korea's first dedicated military communications satellite. Falcon 9 will deliver the satellite to a geostationary transfer orbit. The booster is expected to land downrange on an ASDS.",0,1,1,1,ASDS
99,Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07T05:12:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission will launch the ninth batch of operational Starlink satellites, which are expected to be version 1.0, from LC-39A, Kennedy Space Center. It is the tenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. This mission is includes a rideshare of two BlackSky satellites on top of the Starlink stack. The booster for this mission is expected to land an ASDS.",0,2,1,1,ASDS
100,Starlink-10 (v1.0) & SkySat 19-21,2020-08-18T14:31:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the tenth batch of operational Starlink satellites, which are expected to be version 1.0, from LC-39A, Kennedy Space Center. It is the eleventh Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. This mission is includes rideshare payloads, SkySats 19-21, on top of the Starlink stack. The booster for this mission is expected to land on an ASDS.",0,1,1,1,ASDS
101,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30T23:18:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX's Falcon 9 will launch the second of the two satellite SAOCOM 1 satellites into a sun-synchronous polar orbit from SLC-40, Cape Canaveral AFS. SAOCOM 1B is a synthetic aperture radar Earth observation satellite to support disaster management. The SAOCOM spacecraft are operated by CONAE, the Argentinian National Space Activities Commission, and are built by INVAP. This mission is also expected to include rideshare payloads Sequoia, and GNOMES-1. This will be the first polar launch from the",0,1,1,1,RTLS
102,Starlink-11 (v1.0),2020-09-03T12:46:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission will launch the eleventh batch of operational Starlink satellites, which are expected to be version 1.0, from SLC-40, Cape Canaveral Air Force Station. It is the twelfth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on an ASDS.",0,1,1,1,ASDS
103,Starlink-12 (v1.0),2020-10-06T11:29:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission will launch the twelfth batch of operational Starlink satellites, which are expected to be version 1.0, from SLC-40, Cape Canaveral Air Force Station. It is the thirteenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on an ASDS.",0,1,1,1,ASDS
104,Starlink-13 (v1.0),2020-10-18T12:25:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission will launch the thirteenth batch of operational Starlink satellites, which are expected to be version 1.0, from LC-39A, Kennedy Space Center. It is the fourteenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on an ASDS.",0,1,1,1,ASDS
105,Starlink-14 (v1.0),2020-10-24T15:31:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the fourteenth batch of operational Starlink satellites, which are expected to be version 1.0, from SLC-40, Kennedy Space Center. It is the fifteenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on JRTI.",0,1,1,1,ASDS
106,GPS III SV04 (Sacagawea),2020-11-05T23:24:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch GPS Block III Space Vehicle 04 from SLC-40, Cape Canaveral AFS aboard a Falcon 9. GPS III is owned and operated by the US Air Force and produced by Lockheed Martin. This will be the fourth GPS III satellite launched and the third launched by SpaceX. The satellite will be delivered into a MEO transfer orbit. The booster for this mission will land on an ASDS.",0,1,0,1,ASDS
107,Crew-1,2020-11-16T00:27:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX will launch the first operational mission of its Crew Dragon vehicle as part of NASA's Commercial Crew Transportation Capability Program (CCtCap), carrying 3 NASA astronauts and 1 JAXA astronaut to the International Space Station. This mission will be the second crewed flight to launch from the United States since the end of the Space Shuttle program in 2011.",4,1,0,1,ASDS
108,Sentinel-6 Michael Freilich,2020-11-21T17:17:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"SpaceX will launch Sentinel-6 Michael Freilich into low Earth orbit for NASA, NOAA, ESA, and the European Organization for the Exploitation of Meteorological Satellites aboard a Falcon 9 from SLC-4E, Vandenberg Air Force Station. Sentinel-6(A) is an ocean observation satellite providing radar ocean surface altimetry data and also atmospheric temperature profiles as a secondary mission. The booster for this mission is will land at LZ-4.",0,1,0,1,RTLS
109,Starlink-15 (v1.0),2020-11-25T02:13:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission will launch the fifteenth batch of operational Starlink satellites, which are version 1.0, from SLC-40, Cape Canaveral Air Force Station. It will be the sixteenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude of 550 km. The booster for this mission is expected to land on an ASDS.",0,1,1,1,ASDS
110,CRS-21,2020-12-06T16:17:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX's 21st ISS resupply mission on behalf of NASA and the first under the CRS-2 contract, this mission brings essential supplies to the International Space Station using the cargo variant of SpaceX's Dragon 2 spacecraft. The external payload for this mission is the Nanoracks Bishop Airlock. Falcon 9 and Dragon launch from LC-39A, Kennedy Space Center and the booster is expected to land on an ASDS. The mission will be complete with return and recovery of the Dragon capsule and down cargo.",0,1,1,1,ASDS
111,SXM-7,2020-12-13T17:30:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch the first of two next generation high power S-band broadcast satellites for SiriusXM. The spacecraft will be delivered into a geostationary transfer orbit and the booster will be recovered downrange. The spacecraft is built by Space Systems Loral (SSL) on the SSL 1300 platform and includes two solar arrays producing 20kW, and an unfurlable antenna dish. SXM-7 will replace XM-3 in geostationary orbit.",0,1,1,1,ASDS
112,NROL-108,2020-12-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX will launch NROL-108 for the National Reconnaissance Office aboard a Falcon 9 from SLC-40, Cape Canaveral Air Force Station. The booster for this mission is expected to land at LZ-1.",0,1,1,1,RTLS
113,Turksat 5A,2021-01-08T02:15:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SpaceX will launch the first of two next generation satellites on contract for Türksat. Türksat 5A is a Ku-band broadcast satellite built by Airbus Defense and Space and based on the Electric Orbit Raising version of the Eurostar E3000 platform. This spacecraft will be delivered into a transfer orbit and will then raise itself to its operational 31° East geostationary orbit to serve Turkey, the Middle East, Europe, North Africa and South Africa. The booster for this mission will be recovered dow",0,1,1,1,ASDS
114,Starlink-16 (v1.0),2021-01-20T13:02:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission launches the sixteenth batch of operational Starlink satellites, which are version 1.0, from SLC-40 or LC-39A. It is the seventeenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
115,Transporter-1,2021-01-24T15:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,SpaceX will launch a dedicated rideshare mission from SLC-40 or LC-39A. The spacecraft will be delivered into a sun-synchronous orbit. The booster for this mission is expected to land on an ASDS.,0,1,1,1,ASDS
116,Starlink-18 (v1.0),2021-02-04T06:19:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the eighteenth batch of operational Starlink satellites, which are version 1.0, from SLC-40. It is the nineteenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
117,Starlink-19 (v1.0),2021-02-16T03:59:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the eighteenth batch of operational Starlink satellites, which are version 1.0, from SLC-40. It is the nineteenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,0,ASDS
118,Starlink-17 (v1.0),2021-03-04T08:24:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission launches the sixteenth batch of operational Starlink satellites, which are version 1.0, from LC-39A. It is the eighteenth Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
119,Starlink-20 (v1.0),2021-03-11T08:13:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the 20th batch of operational Starlink satellites, which are version 1.0, from LC-39A or SLC-40. It is the 21st Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
120,Starlink-21 (v1.0),2021-03-14T10:01:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission launches the 21st batch of operational Starlink satellites, which are version 1.0, from LC-39A or SLC-40. It is the 22nd Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
121,Starlink-22 (v1.0),2021-03-24T08:28:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the 22nd batch of operational Starlink satellites, which are version 1.0, from or SLC-40. It is the 23rd Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
122,Starlink-23 (v1.0),2021-04-07T16:34:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the 23rd batch of operational Starlink satellites, which are version 1.0, from or SLC-40 or LC-39A. It is the 24th Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
123,Crew-2,2021-04-23T09:49:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX launches the second operational mission of its Crew Dragon vehicle as part of NASA's Commercial Crew Program, carrying NASA astronauts Shane Kimbrough, Megan McArthur, Thomas Pesquet, and Akihiko Hoshide to the International Space Station. The Falcon 9 and Crew Dragon lift off from LC-39A, Kennedy Space Center. Both the booster and the capsule have flown previously, each a first for a commercial crew flight. The booster for this mission is expected to land on an ASDS. The mission will be ",4,1,1,1,ASDS
124,Starlink-24 (v1.0),2021-04-29T03:44:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the 24th batch of operational Starlink satellites, which are version 1.0, from LC-39A or SLC-40. It is the 25th Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
125,Starlink-25 (v1.0),2021-05-04T19:01:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission launches the 25th batch of operational Starlink satellites, which are version 1.0, from LC-39A. It is the 26th Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on OCISLY.",0,1,1,1,ASDS
126,Starlink-27 (v1.0),2021-05-09T06:42:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the 26th batch of operational Starlink satellites, which are version 1.0, from SLC-40. It is the 27th Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,1,1,1,ASDS
127,Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15T22:54:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission launches the 27th batch of operational Starlink satellites, which are version 1.0, from LC-39A or SLC-40. It is the 28th Starlink launch overall. The satellites will be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on an ASDS.",0,3,1,1,ASDS
128,Starlink-28 (v1.0),2021-05-26T18:59:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"This mission launches the 28th batch of operational Starlink satellites, which were version 1.0, from SLC-40. It was the 29th Starlink launch overall. The satellites plan to be delivered to low Earth orbit and will spend a few weeks maneuvering to their operational altitude. The booster is expected to land on ASDS JRTI.",0,1,1,1,ASDS
129,CRS-22 & IROSA,2021-06-03T17:29:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"SpaceX's 22nd ISS resupply mission on behalf of NASA, this mission sends essential supplies to the International Space Station using the cargo variant of SpaceX's Dragon 2 spacecraft. The external payload for this mission is the first pair of ISS Roll Out Solar Arrays. Falcon 9 and Dragon launch from LC-39A, Kennedy Space Center and the booster is expected to land on an ASDS. The mission will be complete with splashdown and recovery of the capsule and down cargo.",0,1,0,1,ASDS
